outcome_name,marker1_name,marker2_name,combination_type,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,aic_gain,p_comp_fdr,p_comp_bonferroni,survives_fdr,survives_bonferroni
Diabetes,HDL Cholesterol (mg/dL),Insulin (uIU/mL),Difference,-0.805460047991198,2.4858782760109855e-27,1821.8087625688006,-0.6733343444491906,3.062679909869396e-19,1884.9065375235405,0.6449480781308538,5.336511418593407e-17,1877.1530746123585,55.34431204355792,2.075167952148301e-25,2.386443144970546e-23,True,True
Diabetes,Triglycerides (mg/dL),LDL Cholesterol (mg/dL),Ratio,0.5514609695671674,1.3720860989716265e-23,1838.9194545585367,0.4069089666404807,1.506271365758534e-14,1893.3158102267312,-0.4192358999349048,1.4394243669393046e-11,1900.3012717258098,54.396355668194474,1.037167444891938e-21,1.3172026550127613e-19,True,True
Diabetes,Waist Circumference (cm),HDL Cholesterol (mg/dL),Ratio,0.680120130131476,6.093897908858577e-53,3474.404735001048,0.7312435769192435,7.121154410929251e-44,3527.716979572856,-0.6059536047653187,1.0744665635401547e-30,3570.7873578612152,53.31224457180815,2.1667192564830497e-50,5.850141992504234e-49,True,True
Hypertension,Potassium (mmol/L),Body Mass Index (kg/m2),Ratio,-0.6234772807140744,1.8223098973547886e-59,5347.756998895177,-0.165773368901781,3.573325669443097e-07,5617.412365451608,0.5260140113605285,5.775955989613849e-51,5400.130466097044,52.37346720186633,1.1662783343070646e-56,1.7494175014605972e-55,True,True
Diabetes,Total Cholesterol (mg/dL),WBC Count (10^3/uL),Ratio,-0.5053243849517746,5.834325662289074e-26,3924.476978618879,-0.3709778989449614,7.63018026406131e-18,3975.7057976499054,0.038399137431156645,0.2701902040925609,4053.68811979867,51.22881903102643,4.667460529831259e-24,5.600952635797511e-22,True,True
Diabetes,Calcium (mg/dL),Fasting Glucose (mg/dL),Ratio,-1.5308368312865153,4.3620739403254155e-85,1387.8014924930167,0.12754816043375886,0.026661801512457055,1978.3685008081757,1.5424261756514541,3.7806172273911152e-62,1437.8676232835046,50.06613079048793,6.979318304520664e-82,4.187590982712399e-81,True,True
Diabetes,Diastolic BP (mmHg),WBC Count (10^3/uL),Ratio,-0.32162062003238373,1.7430596358755956e-12,3869.128538900805,-0.09355968501976873,0.03790605095815769,3918.754096927284,0.037664184470327766,0.2744014077835797,3921.3415073050737,49.62555802647921,4.921580148354623e-11,1.673337250440572e-08,True,True
Diabetes,Waist Circumference (cm),Total Cholesterol (mg/dL),Ratio,0.6097831460950282,5.392032970654488e-53,3478.9293831874184,0.7312435769192435,7.121154410929251e-44,3527.716979572856,-0.36634360043826975,3.115648295391767e-16,3653.6383701885616,48.78759638543761,1.9909044814724261e-50,5.176351651828308e-49,True,True
High Cholesterol,HDL Cholesterol (mg/dL),Total Cholesterol (mg/dL),Ratio,-0.4312233368178484,1.3550193728511393e-33,5633.160536461312,-0.2560737696126787,5.967392466436252e-13,5735.231407500218,0.331722121291193,1.2914143295553243e-24,5681.931916000676,48.77137953936381,1.5303748211024633e-31,1.3008185979370938e-29,True,True
Hypertension,Total Cholesterol (mg/dL),hs-CRP Inflammation (mg/L),Ratio,-0.4074110580674454,1.0384096735009117e-21,5632.881904008784,-0.0968714740569419,0.002780250825836791,5731.632296182274,0.27320752066677384,3.94914072908191e-12,5679.976499115966,47.09459510718261,6.735630314600508e-20,9.968732865608753e-18,True,True
Hypertension,Potassium (mmol/L),hs-CRP Inflammation (mg/L),Ratio,-0.42314030233306893,1.1080814592016054e-21,5627.0852936888505,-0.17114727961092469,1.2069142491127786e-07,5705.3826244677675,0.2735558448064386,3.961038103503908e-12,5672.9444143973,45.859120708449154,7.139316784117726e-20,1.0637582008335412e-17,True,True
Hypertension,HDL Cholesterol (mg/dL),hs-CRP Inflammation (mg/L),Ratio,-0.4149104589394318,5.404992041196207e-21,5635.237621992541,-0.21995355621254473,3.740695604337366e-10,5699.8403242867935,0.27320752066677384,3.94914072908191e-12,5679.976499115966,44.73887712342548,3.2633914210995967e-19,5.188792359548359e-17,True,True
Diabetes,Triglycerides (mg/dL),Total Cholesterol (mg/dL),Difference,0.5938530869330235,1.909005773157089e-18,1893.358822870528,0.353735357514664,9.667563795633988e-09,1947.4607266226953,-0.4174665305084671,2.809634903150508e-11,1938.0767137079145,44.71789083738645,9.595002838904739e-17,1.8326455422308052e-14,True,True
Diabetes,Total Cholesterol (mg/dL),Triglycerides (mg/dL),Difference,-0.5938530869330235,1.909005773157089e-18,1893.358822870528,-0.4174665305084671,2.809634903150508e-11,1938.0767137079145,0.353735357514664,9.667563795633988e-09,1947.4607266226953,44.71789083738645,9.595002838904739e-17,1.8326455422308052e-14,True,True
Diabetes,Diastolic BP (mmHg),Triglycerides (mg/dL),Ratio,-0.7060715931885505,3.688676013860977e-15,1817.878664188907,-0.13603409962576007,0.01836181622672515,1888.7095751620059,0.33099590632737663,1.869094890496786e-07,1861.467631399872,43.588967210965166,1.3672312638249182e-13,3.541128973306538e-11,True,True
Diabetes,Sodium (mmol/L),WBC Count (10^3/uL),Ratio,-0.34955218511771563,3.8755404168538483e-14,3910.2238374056033,-0.16913349286965385,1.0350646397281252e-05,3953.5753352388506,0.03905091409193705,0.2736451406161279,3971.41132830941,43.35149783324732,1.3529159273380708e-12,3.7205188001796944e-10,True,True
Diabetes,Hemoglobin (g/dL),Fasting Glucose (mg/dL),Ratio,-1.5737693829016137,2.0410937080687175e-88,1410.6813725850966,-0.12419264656401334,0.04538088714599222,2013.9246864874785,1.5656109024885811,3.989413064233724e-64,1452.2424514938434,41.56107890874682,6.531499865819896e-85,1.959449959745969e-84,True,True
