outcome,marker1,marker2,anomaly_type,n11_d,n11_v,p00_d,p10_d,p01_d,p11_d,p00_v,p10_v,p01_v,p11_v,or_d,or_l_d,or_u_d,or_v,or_l_v,or_u_v,beta1_d,beta2_d,beta3_d,p3_d,beta1_v,beta2_v,beta3_v,p3_v,beta_med_int_d,p_med_int_d,beta_med_int_v,p_med_int_v
statin_associated_diabetes,BMXBMI,BMXWAIST,High-High,133,117,0.38071995118974983,0.5185185185185185,0.6,0.6090225563909775,0.3110838946723821,0.5555555555555556,0.5,0.6153846153846154,2.524328033855656,1.5709145911410627,4.056383496878068,3.5268025975990573,2.1257322494990514,5.85131855875201,0.6133671746746984,0.8052006144813711,-0.5730149866705536,0.1834247918686952,0.9532287767798351,0.8364157764212917,-0.5373041321974384,0.2317564345477401,0.01997563469232152,0.9305581440675282,0.19716032224754226,0.426474928178762
statin_associated_diabetes,BMXBMI,BMXWAIST,Low-Low,122,124,0.42953431372549017,0.25,0.38095238095238093,0.20491803278688525,0.3667083854818523,0.20689655172413793,0.23943661971830985,0.14516129032258066,0.3472887767969735,0.19304073639648944,0.6247877869747468,0.2998811282014337,0.15461161047425087,0.5816425479012877,-0.7929920235723958,-0.13267413752263205,-0.09353174605411901,0.83649929982313,-0.7289152930928651,-0.6866319803200063,0.149251848675925,0.7656934062020853,0.13466909542795316,0.646570667695469,0.008418945654677022,0.9777299146347883
statin_associated_diabetes,BMXBMI,LBDHDD,High-Low,23,24,0.37209302325581395,0.5670731707317073,0.6217948717948718,0.6956521739130435,0.30579613590939375,0.5777777777777777,0.3539325842696629,0.5416666666666666,3.7111882046834346,1.1839626336340072,11.632899129854641,2.663339168283106,0.9378661882074986,7.563312991236197,0.7719670660186898,0.931973458371204,-0.5541449385107335,0.2789664235037804,1.1029788247836936,0.23979010972362177,-0.3371859597105272,0.47874737663336464,-0.03452607106239597,0.947944328519333,0.10086228643647564,0.8435088879684168
statin_associated_diabetes,BMXBMI,LBDHDD,Low-High,46,31,0.44472681067344344,0.2647058823529412,0.2814814814814815,0.17391304347826086,0.3509336767546684,0.1793103448275862,0.3394495412844037,0.16129032258064516,0.27561945549097583,0.10293373438837639,0.7380096009974388,0.38370544592982037,0.1138759223289445,1.2928972712151638,-0.7691704455099833,-0.6337410289312955,0.15642240488664882,0.7440004398842734,-0.9032872048428141,-0.0881816071656862,-0.06735696155948338,0.9066123022981897,0.1305325346538472,0.8131226159783805,-0.4121336267798369,0.468459654183072
statin_associated_diabetes,BMXBMI,LBXHGB,Low-Low,22,20,0.4216250799744082,0.23076923076923078,0.5632911392405063,0.36363636363636365,0.3344262295081967,0.1927710843373494,0.5673758865248227,0.1,0.8039789809416746,0.2621678945188212,2.4655276840147544,0.2688143579426635,0.04711558150425036,1.5336998234778794,-0.8316358513733517,0.668161382568822,-0.041405079335820265,0.9355572376680595,-0.7306168342140579,0.9645603936502114,-1.6943190603241056,0.03233891462130059,-0.24595706433353473,0.6747374078367666,-1.7340173128763476,0.03125108519748225
statin_associated_diabetes,BMXBMI,LBXHSCRP,High-High,62,43,0.3828972559029994,0.5793650793650794,0.536,0.5967741935483871,0.30971128608923887,0.5862068965517241,0.3333333333333333,0.5581395348837209,2.369349071851888,1.2068479316080098,4.651634126600797,2.798670465337132,1.2642501292306945,6.195416707860276,0.7641283772995654,0.6056890750665819,-0.5151073383532686,0.16240894499878222,1.1275173424446876,0.09086378401005449,-0.2270501169079536,0.5713130341163897,-0.23717917644939726,0.4479644280567925,0.13820890558266416,0.7043457228031871
statin_associated_diabetes,BMXBMI,LBXHSCRP,Low-Low,46,43,0.43316195372750643,0.23404255319148937,0.41605839416058393,0.2826086956521739,0.35169210351692104,0.18181818181818182,0.35526315789473684,0.18604651162790697,0.5272562318135048,0.22743536636304296,1.2223214816222605,0.441186231431947,0.16337346071483067,1.1914131582538856,-0.8727218769317278,-0.09975982569508118,0.3480037080699851,0.41364595744918764,-0.8823113532499555,0.051080473370107876,-0.0410230588228553,0.9323100275891429,0.482835599861196,0.2804747964280524,0.46536456696862727,0.3255523785076586
statin_associated_diabetes,BMXBMI,LBXPLTSI,High-High,37,30,0.3903061224489796,0.577922077922078,0.45751633986928103,0.6486486486486487,0.31389830508474575,0.5864661654135338,0.308411214953271,0.5666666666666667,2.834074074074074,1.17169274745316,6.855018839023675,2.831715210355987,1.1014622710099036,7.27996885922328,0.731877691548062,0.31937498564889866,0.09159282869109223,0.8270781432687232,1.1058461301589622,-0.05557740886925674,-0.05943490263002584,0.8921193560072067,0.39750250692561445,0.3293795100700443,-0.03657357611055717,0.932311387023195
statin_associated_diabetes,BMXBMI,LBXPLTSI,Low-High,21,22,0.4259020618556701,0.23529411764705882,0.514792899408284,0.3333333333333333,0.35318559556786705,0.18902439024390244,0.36036036036036034,0.13636363636363635,0.6970834310735788,0.21718818348013524,2.2373469039201077,0.32856174188201615,0.07315757650335773,1.4756204809981623,-0.837183781816485,0.3917750029535319,0.08973393811899619,0.8645325611728037,-0.8534342306014614,-0.021622343682451254,-0.3839434474569506,0.5668742711708126,0.5237146964902821,0.42778506723152276,-0.6877856879469889,0.3029631816600027
statin_associated_diabetes,BMXBMI,LBXSAL,High-Low,29,23,0.38952020202020204,0.5534591194968553,0.4732142857142857,0.7586206896551724,0.29968847352024924,0.562962962962963,0.5384615384615384,0.6521739130434783,4.700404858299596,1.5737122760869293,14.03929178646505,4.2586891454401075,1.40578340984213,12.901299809425208,0.6148915285965822,0.38848111346364367,0.658920056342174,0.19144634570218677,1.0777213786250002,1.0099995483625006,-0.65039537284003,0.22522215300600634,0.20196971415748116,0.6789702796367424,0.109127207123907,0.8322767207442907
statin_associated_diabetes,BMXBMI,LBXSBU,High-Low,21,28,0.3932291666666667,0.5868263473053892,0.4125,0.5714285714285714,0.30847212165097754,0.5923076923076923,0.3125,0.5,2.0297331417874713,0.6643193024519012,6.201560923587233,2.2403282532239155,0.8506372183843204,5.900365718450954,0.7653552108878192,0.07649125874268138,-0.24198466909127414,0.628627722812002,1.152833775204266,-0.015712187499480185,-0.3812690902027439,0.38733623374563086,0.12932976619343353,0.7969223011569656,0.17156689685668386,0.6950413021719271
statin_associated_diabetes,BMXBMI,LBXSUA,High-High,36,30,0.3929032258064516,0.5789473684210527,0.4206896551724138,0.6111111111111112,0.3009966777408638,0.5859375,0.38414634146341464,0.5333333333333333,2.3969618964102852,0.9964280503038371,5.7660222743537375,2.640953503402654,1.0331990038017516,6.750524711571472,0.7151400359154888,0.07462272774383466,0.06945336837629676,0.8687465668313159,1.1606352608850938,0.397497989767245,-0.6037635204313444,0.17249794750407776,-0.0031784486707584192,0.9943006136477275,-0.27642162644167617,0.5619263912059724
statin_associated_diabetes,BMXBMI,LBXSUA,Low-Low,36,28,0.4282067645181876,0.27631578947368424,0.484375,0.1388888888888889,0.345075016307893,0.17721518987341772,0.4074074074074074,0.21428571428571427,0.23310758902717205,0.07037341740915665,0.7721544592062203,0.5480432273633407,0.17259601964122817,1.7401987582515552,-0.6515992594022281,0.26160943709841944,-1.0124022265159662,0.06481657386968444,-0.8847089673469586,0.22105625942627094,-0.046404143726219316,0.9321777270312942,-0.26665344249038553,0.6605301971159776,0.1665142803752578,0.7595991322454029
