outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain,p_comp_fdr,p_comp_bonferroni,survives_fdr,survives_bonferroni
stroke_binary,Stroke,LBXSCA,Calcium (mg/dL),LBXHGB,Hemoglobin (g/dL),Difference,4903,239.0,0.3002964132508065,1.6589966290482466e-06,1892.1589756411984,-0.0139943099762671,0.8329838530181122,1914.215687508513,-0.2958289118383417,1.866823295666109e-06,1892.526327757334,1.125272506874888,0.3673521161354074,7.683174782899255e-06,0.008958581796860533,True,True
stroke_binary,Stroke,LBXHGB,Hemoglobin (g/dL),LBXSCA,Calcium (mg/dL),Difference,4903,239.0,-0.3002964132508065,1.6589966290482466e-06,1892.1589756411984,-0.2958289118383417,1.866823295666109e-06,1892.526327757334,-0.0139943099762671,0.8329838530181122,1914.215687508513,1.125272506874888,0.3673521161354074,7.683174782899255e-06,0.008958581796860533,True,True
diabetes_binary,Diabetes,LBXSCA,Calcium (mg/dL),LBXHSCRP,hs-CRP Inflammation (mg/L),Difference,5881,797.0,-0.251101804393803,1.0802661726976509e-15,4603.874701623962,-0.0590075221501382,0.1214846268557343,4668.163948395793,0.2502685929711799,1.3295561246766336e-15,4604.242024577408,1.230767155613559,0.3673229534460915,1.1438112416798656e-14,5.833437332567314e-12,True,True
diabetes_binary,Diabetes,LBXHSCRP,hs-CRP Inflammation (mg/L),LBXSCA,Calcium (mg/dL),Difference,5881,797.0,0.251101804393803,1.0802661726976509e-15,4603.874701623962,0.2502685929711799,1.3295561246766336e-15,4604.242024577408,-0.0590075221501382,0.1214846268557343,4668.163948395793,1.230767155613559,0.3673229534460915,1.1438112416798656e-14,5.833437332567314e-12,True,True
stroke_binary,Stroke,diastolic_bp,Diastolic BP (mmHg),LBDLDL,LDL Cholesterol (mg/dL),Ratio,2249,103.0,0.2221684514229539,0.0043893869698789,833.5188695683187,-0.1098923826978677,0.2571528207293331,839.1649896647923,-0.2734095823040354,0.0129315469714477,833.8854529868422,2.946094081061266,0.3665834185235326,0.01386933273103924,1.0,True,False
high_cholesterol_binary,High Cholesterol,LBXSAL,Albumin (g/dL),LBDLDL,LDL Cholesterol (mg/dL),Difference,2556,846.0,-0.3080866679990434,4.887221774601732e-13,3195.784893895873,-0.1116465892903725,0.0078043625618587,3242.3952213799794,0.3070384328474502,5.790865090223208e-13,3196.1409802287744,1.184899183482443,0.3560863329012136,4.209090523580439e-12,2.639099758284935e-09,True,True
high_cholesterol_binary,High Cholesterol,LBDLDL,LDL Cholesterol (mg/dL),LBXSAL,Albumin (g/dL),Difference,2556,846.0,0.3080866679990434,4.887221774601732e-13,3195.784893895873,0.3070384328474502,5.790865090223208e-13,3196.1409802287744,-0.1116465892903725,0.0078043625618587,3242.3952213799794,1.184899183482443,0.3560863329012136,4.209090523580439e-12,2.639099758284935e-09,True,True
high_cholesterol_binary,High Cholesterol,LBXSATSI,ALT Liver Enzyme (U/L),LBXHGB,Hemoglobin (g/dL),Difference,5384,1761.0,0.0698401137019271,0.0137290738267087,6804.296201810548,0.067830014195771,0.0166281465782194,6804.645630081267,-0.0074211780826471,0.7982761245859549,6810.297008206693,1.211163024403787,0.3494282707188176,0.04083020604181485,1.0,True,False
high_cholesterol_binary,High Cholesterol,LBXHGB,Hemoglobin (g/dL),LBXSATSI,ALT Liver Enzyme (U/L),Difference,5384,1761.0,-0.0698401137019271,0.0137290738267087,6804.296201810548,-0.0074211780826471,0.7982761245859549,6810.297008206693,0.067830014195771,0.0166281465782194,6804.645630081267,1.211163024403787,0.3494282707188176,0.04083020604181485,1.0,True,False
high_cholesterol_binary,High Cholesterol,LBXGLU,Fasting Glucose (mg/dL),LBXSAL,Albumin (g/dL),Difference,2582,864.0,0.4624010178946218,5.0210731923206605e-21,3184.3016320918487,0.4614731847671319,5.5657166309451974e-21,3184.6502478251573,-0.1134387912625519,0.0064585026838483,3288.134640936443,1.1084715194866162,0.3486157333086339,7.659264191675583e-20,2.7113795238531566e-17,True,True
