outcome,marker1,marker2,anomaly_type,n11_d,n11_v,rate_00_d,rate_11_d,rate_00_v,rate_11_v,or_d,or_l_d,or_u_d,or_v,or_l_v,or_u_v,beta3_d,p3_d,beta3_v,p3_v,beta_med_int_d,p_med_int_d,beta_med_int_v,p_med_int_v
uncontrolled_hypertension,LBXSBU,LBXSUA,Low-Low,40.0,46.0,0.3561816652649285,0.35,0.30700325732899025,0.2391304347826087,0.9887794289530806,0.4231894579059729,2.310276735055174,0.7309663147873324,0.30280700214909984,1.7645290550140005,-0.40877984794690797,0.30691832319825996,-0.7784199875194153,0.05278918663149288,0.712197705244566,0.09288561207010435,0.5427092352693641,0.18259538820464838
uncontrolled_hypertension,LBXSBU,LBXTC,High-High,21.0,27.0,0.34822601839684625,0.5238095238095238,0.30175292153589317,0.4074074074074074,2.049355002843375,0.6785300108708041,6.189639161706651,1.6121337773030933,0.5953542942535424,4.365426336901031,0.12411188626586248,0.7951458493069896,0.14247955251868882,0.7442787090432135,-1.774365796686651,0.03533975284926113,-0.15788326563733648,0.8703716982893174
uncontrolled_hypertension,LBXSBU,LBXTC,High-Low,41.0,25.0,0.364542696142176,0.3902439024390244,0.31952435749904107,0.16,1.1276432141484045,0.4959225368256627,2.5640682243524604,0.4455992522425748,0.11670616912771119,1.701355593138008,0.40229848166999904,0.2920366711350517,-0.29441551967141244,0.6238800644686875,1.163643550915346,0.3043989316451061,12.338217619494568,0.9853554347030863
uncontrolled_hypertension,LBXSBU,LBXTC,Low-High,27.0,58.0,0.34887664264518864,0.37037037037037035,0.2999131944444444,0.3793103448275862,1.1194899817850636,0.40704577312679213,3.0789112725333236,1.4383561643835618,0.7140450279720189,2.897392145557051,-0.7145160916749959,0.11595891872336254,-0.13719882879229606,0.6714492715357139,-0.09976179821508205,0.8390556938594351,0.3050481983525725,0.35209462352682697
uncontrolled_hypertension,LBXSBU,LBXWBCSI,High-High,31.0,21.0,0.3588516746411483,0.25806451612903225,0.3127215439149271,0.19047619047619047,0.6460687913192521,0.2290175307216505,1.8225892218881536,0.564937516856963,0.14412982388309958,2.2143536247665865,-0.8214039154722357,0.07238120870435266,-0.8450011469397265,0.15561532897774877,-1.2741645582023589,0.23439728536488258,-1.4957618939594284,0.17492538372752553
uncontrolled_hypertension,LBXSBU,LBXWBCSI,High-Low,27.0,28.0,0.361013986013986,0.3333333333333333,0.31503482179434655,0.39285714285714285,0.9086672879776327,0.3230112906120306,2.5561838370298555,1.4282929546087442,0.533766103853863,3.821937641704394,-0.13346118220037814,0.769459281468154,0.5617466171116321,0.19872664137183427,0.21575484377711907,0.8160020369801562,-0.5647741407943528,0.6050738318916595
uncontrolled_hypertension,LBXSBU,LBXWBCSI,Low-High,26.0,39.0,0.3605240912933221,0.2692307692307692,0.31527093596059114,0.5128205128205128,0.6820332567256997,0.22425236060436646,2.074312002898073,2.282451662412625,1.0026941161709018,5.195588073404252,-0.5122953834864844,0.3027891111764005,1.1460221617952309,0.002915330338667471,0.5611324000725528,0.35987436739748635,1.5666698328404902,0.00018686446544172576
uncontrolled_hypertension,LBXSBU,LBXSASSI,High-High,23.0,25.0,0.3531970421922575,0.2608695652173913,0.31338320864505403,0.16,0.68,0.20716603358582025,2.2320261289766257,0.45841231679689304,0.12001231443880073,1.7510024131586517,-0.9382215058880191,0.06821451070760776,-0.9473459811221374,0.10157803005430521,-1.8432133578805858,0.027851133156850463,-0.6677680059969897,0.5958031542553199
uncontrolled_hypertension,LBXSBU,LBXSASSI,Low-High,24.0,73.0,0.35765499789118516,0.5,0.3131703131703132,0.3150684931506849,1.7955215085444904,0.6369933078993861,5.061116730217048,1.0201950379842912,0.5307520507423541,1.9609870825219096,0.4204103434028386,0.3647671471007672,0.011679446496227314,0.9702199513661437,0.3554661227027282,0.4704042321332572,-0.22220464688893576,0.47444610580498103
uncontrolled_hypertension,LBXSBU,LBXSAPSI,High-High,43.0,36.0,0.35220397579948143,0.4418604651162791,0.3115519253208868,0.4166666666666667,1.4634942879665662,0.6643646913795602,3.2238551486883873,1.5925227407912488,0.6703181695198371,3.7834699926960846,-0.014744947241327175,0.9679730773142364,0.4905900537815219,0.22695890469354207,-0.453915785477952,0.49601386263753255,0.9541638582840608,0.42927869417368614
