Biomarker_A,Biomarker_B,r_correlation,Residual_Type,beta_e,z_stat,p_value,ols_slope_A,FDR_q
LBXTC,LBDLDL,0.922792172631123,Absolute (Magnitude),0.1312767779694914,1.762150070327265,0.07804394545971349,0.8166215904386513,0.11149135065673356
LBXSBU,LBXSCR,0.5187792327898515,Absolute (Magnitude),0.04359068590245017,1.2979666990714134,0.19429877837556275,0.033734175814168335,0.2711145744775294
LBXHGB,LBXSAL,0.37285463329653784,Absolute (Magnitude),0.07079415267769781,1.2592478718037776,0.2079408152975173,0.07795565826529836,0.2835556572238872
LBDLDL,LBXTC,0.922792172631123,Absolute (Magnitude),0.08992496740403834,1.1776715864220346,0.23892755861575776,1.0555748958036297,0.3125022478441545
LBXSCA,LBXSAL,0.48223711210676273,Absolute (Magnitude),0.06438876402504756,1.1760245730795031,0.23958505668051844,0.45368578802318266,0.3125022478441545
LBXTC,LBDLDL,0.922792172631123,Directional,0.05848206080681798,1.0699741200616661,0.28463095794766224,0.8166215904386513,0.36335866972041986
systolic_bp,diastolic_bp,0.3567696755339132,Directional,0.0374807512251195,1.020701730685063,0.3073957743154012,0.3076252733355032,0.3842447178942516
BMXWAIST,LBDHDD,-0.3270462615273376,Absolute (Magnitude),0.05483926323995925,0.9934039122386917,0.32051315580838413,-0.3227742752368108,0.39246508874496017
LBDLDL,LBXTC,0.922792172631123,Directional,-0.05142615927349702,-0.9397974695846336,0.347321457041626,1.0555748958036297,0.4167857484499512
BMXWAIST,LBXSUA,0.32569059594599786,Absolute (Magnitude),-0.053741107238736395,-0.8754981437681026,0.38130291977457753,0.024022200472606968,0.44859167032303243
LBXTR,LBXTC,0.3300912999446555,Directional,-0.04550233837493927,-0.8483590854430871,0.39623802125088325,0.14238529309477496,0.45719771682794225
LBXSAL,LBXHGB,0.37285463329653784,Directional,0.027312220511646224,0.7414883496453973,0.4583973931412382,1.2482149561856104,0.5188213801303659
systolic_bp,diastolic_bp,0.3567696755339132,Absolute (Magnitude),-0.040036938705854314,-0.7274681131077185,0.4669392421173294,0.3076252733355032,0.5188213801303659
LBXSAL,LBXSCA,0.48223711210676273,Absolute (Magnitude),-0.036567328077400284,-0.6388798353302498,0.5229011068650583,0.5555406108422445,0.5704375711255182
LBXSCR,LBXSBU,0.5187792327898515,Absolute (Magnitude),0.031197867769995377,0.6051936951006732,0.5450503045864039,6.68767110582599,0.5839824691997185
diastolic_bp,systolic_bp,0.3567696755339132,Directional,-0.017911858372353633,-0.4978136163656474,0.6186154177527274,0.5371667901086163,0.6511741239502394
LBXSASSI,LBXSATSI,0.728161097796266,Directional,-0.011270896731282011,-0.3055361267577518,0.7599578593569192,0.818410483021215,0.7861633027830198
LBXGH,LBXGLU,0.8472075657369529,Directional,0.012570375693419844,0.24442329789832629,0.8069029997605648,28.430157540386293,0.8205793217904048
diastolic_bp,systolic_bp,0.3567696755339132,Absolute (Magnitude),-0.009817893660299453,-0.17338625989710574,0.8623478245510057,0.5371667901086163,0.8623478245510057
