outcome_name,marker1_name,marker2_name,anomaly_type,gate,n_samples,n11,n10,n01,n00,p00,p10,p01,p11,age00,age10,age01,age11,or10,or01,or11,beta1,p1,beta2,p2,beta3_adjusted,p3_adjusted,beta_age,p_age,beta_sex,p_sex,p3_fdr,p3_bonferroni,survives_fdr,survives_bonferroni
Diabetes,Creatinine Kidney (mg/dL),Uric Acid (mg/dL),High-High,OR,5897,167,419,363,4948,0.1128,0.3126,0.1818,0.2695,43.4,61.7,47.1,64.3,3.583,1.757,2.92,0.486,0.00012223356864676205,0.4183,0.006448295409309352,-0.7328,0.005355451484856523,0.054,4.725641315050491e-101,-0.2471,0.003576010689815703,1.0,1.0,False,False
Thyroid Problem,Fasting Glucose (mg/dL),Alkaline Phosphatase (U/L),Low-Low,AND,2378,32,196,196,1954,0.1351,0.0714,0.1071,0.2188,52.8,41.0,49.7,38.5,0.508,0.783,1.88,-0.4456,0.13587627926170223,-0.1931,0.440571391226135,1.6159,0.005387782638590497,0.0401,4.052286125275339e-22,1.3632,1.139592182402606e-20,1.0,1.0,False,False
Liver Condition,Insulin (uIU/mL),Sodium (mmol/L),TwoSided-TwoSided,AND,2375,63,413,249,1650,0.0576,0.0436,0.0402,0.1429,51.6,48.4,53.9,56.3,0.762,0.714,2.839,-0.2385,0.36744670187907313,-0.4028,0.2376746102460623,1.5403,0.005417424042933535,0.0198,0.0002209803898576468,-0.336,0.06489053437458688,1.0,1.0,False,False
Diabetes,"Glycohemoglobin (HbA1c, %)",Insulin (uIU/mL),High-High,OR,2820,64,202,218,2336,0.0651,0.8416,0.1606,0.8438,44.6,62.4,39.3,59.8,75.149,2.771,74.351,4.0503,2.3958875206700596e-75,1.4724,4.949337743756835e-11,-1.3034,0.005550526786594463,0.0582,1.6049507666237906e-35,-0.1835,0.207785597048475,1.0,1.0,False,False
Hypertension,Body Mass Index (kg/m2),WBC Count (10^3/uL),High-High,OR,5452,110,433,431,4478,0.3287,0.5012,0.3828,0.4,48.5,47.4,46.8,44.0,2.051,1.268,1.366,1.0562,6.161922820316095e-20,0.4536,0.00015840478667298374,-0.7337,0.0061521792126718305,0.0623,8.305800628117829e-213,-0.1167,0.07403218905823972,1.0,1.0,False,False
Liver Condition,Insulin (uIU/mL),Sodium (mmol/L),Low-Low,AND,2375,16,222,141,1996,0.0566,0.036,0.0496,0.25,51.7,48.6,51.2,56.5,0.658,0.925,5.974,-0.4354,0.24482422668132053,-0.129,0.7477651868529049,2.1816,0.006186613314790485,0.0196,0.00022726572964393066,-0.3586,0.04872480203187014,1.0,1.0,False,False
Heart Attack,hs-CRP Inflammation (mg/L),WBC Count (10^3/uL),High-Low,AND,4896,30,457,432,3977,0.0475,0.0438,0.0625,0.2333,51.1,52.2,53.8,52.7,0.937,1.356,6.38,0.0101,0.967625752513442,0.1782,0.4172364874017711,1.592,0.006295483605696002,0.0646,8.695688593537928e-36,-0.9121,4.345689189066487e-10,1.0,1.0,False,False
Hypertension,LDL Cholesterol (mg/dL),Potassium (mmol/L),High-Low,AND,2573,30,224,208,2111,0.3472,0.3259,0.4423,0.6667,47.9,54.2,49.1,53.0,0.912,1.492,3.669,-0.4074,0.011854654217082244,0.4563,0.00553397675844609,1.2617,0.00666825076734387,0.0572,9.887505466753754e-95,-0.0141,0.8796813184782593,1.0,1.0,False,False
Arthritis,Body Mass Index (kg/m2),HDL Cholesterol (mg/dL),High-Low,XOR,4849,72,408,376,3993,0.294,0.4608,0.3005,0.2917,51.8,48.7,50.5,46.9,2.052,1.034,1.002,1.0724,4.490673067338819e-19,0.3114,0.019465064205705623,-0.9013,0.0067387207931453455,0.0664,6.848036064731823e-167,0.4816,2.7538278568772986e-11,1.0,1.0,False,False
Liver Condition,Diastolic BP (mmHg),"Glycohemoglobin (HbA1c, %)",Low-High,AND,4764,56,396,405,3907,0.0543,0.0278,0.0716,0.1429,50.2,53.7,60.5,68.9,0.519,1.363,3.048,-0.8028,0.011148434173585913,0.0849,0.683635278543451,1.4303,0.007177445023461011,0.0216,5.394457692889053e-08,-0.207,0.10848618451946557,1.0,1.0,False,False
