Biomarker_A,Biomarker_B,Combo_Type,beta_A,p_A,beta_B,p_B,beta_combo,p_combo,aic_gain,FDR_q
LBXSAPSI,LBDHDD,Difference,0.14604322065327424,3.6219977586826865e-06,-0.1742749731876544,2.12212999362279e-05,0.1959873499474102,4.512073121335312e-09,12.897956717993111,1.6612632855825467e-08
LBDHDD,LBXSAPSI,Difference,-0.1742749731876544,2.12212999362279e-05,0.14604322065327424,3.6219977586826865e-06,-0.1959873499474102,4.512073121335312e-09,12.897956717993111,1.6612632855825467e-08
LBDHDD,LBXSAPSI,Ratio,-0.1742749731876544,2.12212999362279e-05,0.14604322065327424,3.6219977586826865e-06,-0.2410594693614545,1.6174271711981485e-08,15.209743764494306,5.696156559436958e-08
LBXSAPSI,LBDHDD,Ratio,0.14604322065327424,3.6219977586826865e-06,-0.1742749731876544,2.12212999362279e-05,0.21850031352107174,2.5785441258042655e-08,13.885311073014236,8.702586424589397e-08
LBXSKSI,LBDHDD,Ratio,0.08777091593646627,0.02006240440871235,-0.17451563514713114,2.0651487961317273e-05,0.19302228957892245,3.853397707412391e-08,10.248342848803077,1.2485008572016147e-07
LBDHDD,LBXGH,Ratio,-0.17935072955209913,1.211893527868335e-05,0.16033383840111806,2.3727829570123894e-07,-0.22279886508913513,4.601164395796487e-08,8.133381743821701,1.4334396771519825e-07
LBXSUA,LBXWBCSI,Ratio,-0.027094952224417657,0.5071600701132064,0.05925632259076428,0.13292548021492437,-0.2408222887954601,5.054069957284127e-08,27.43290207710379,1.5162209871852383e-07
LBXGLU,LBDHDD,Ratio,0.1448894819718126,0.0009432077706531048,-0.19196957984458832,0.0009916478398651,0.23290073107675185,7.685457842679118e-08,15.958216684515264,2.2232931616321736e-07
LBXSNASI,LBXGH,Ratio,-0.034551145200126476,0.3661238490359373,0.16118334568750553,2.1186922639023054e-07,-0.19142080798021294,8.040540787711849e-08,3.3170694751343035,2.2458062200160682e-07
LBXHSCRP,LBDHDD,Ratio,0.13267658393924833,4.969225166696672e-07,-0.1756348782885932,1.946406035055125e-05,0.13862153274456973,9.608608042558037e-08,2.231665405422973,2.59432417149067e-07
systolic_bp,LBXWBCSI,Ratio,-0.0017948988268251312,0.9655929100077061,0.05535402108956374,0.12665231320614245,-0.22321926426418695,1.3147659808874682e-07,25.45104417811308,3.4353562726414493e-07
LBXSCA,LBXGH,Ratio,4.799274076899556e-05,0.9989470543183544,0.16107183024420524,2.1655814338960402e-07,-0.18909620483301043,1.689133065038613e-07,2.2532342414951927,4.2756180708789893e-07
LBXSKSI,LBXWBCSI,Ratio,0.08497413613213853,0.024960640235035417,0.05928929137305676,0.1329154776050176,-0.21008802232734222,2.4792020186432433e-07,23.38587482712319,6.085314045760688e-07
