outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain
liver_condition_binary,Liver Condition,BMXBMI,Body Mass Index (kg/m2),LBXGLU,Fasting Glucose (mg/dL),Difference,2385,131.0,-0.26403391782714675,1.1384635682108895e-05,1003.5213265545538,0.0012237190329242769,0.9891306709092771,1018.9293004151147,0.26192672343815254,1.499371399402725e-05,1003.9198647154819,1.317013070307561,0.39853816092818306
liver_condition_binary,Liver Condition,LBXGLU,Fasting Glucose (mg/dL),BMXBMI,Body Mass Index (kg/m2),Difference,2385,131.0,0.26403391782714675,1.1384635682108895e-05,1003.5213265545538,0.26192672343815254,1.499371399402725e-05,1003.9198647154819,0.0012237190329242769,0.9891306709092771,1018.9293004151147,1.317013070307561,0.39853816092818306
thyroid_binary,Thyroid Problem,LBXSCA,Calcium (mg/dL),LBXSUA,Uric Acid (mg/dL),Difference,4900,598.0,0.10498237015257893,0.018935460695642954,3633.920180483714,0.09927709405469445,0.022335939915001057,3634.318123754455,-0.07954401050380282,0.07354521231233643,3636.278955287914,1.1795825976465708,0.3979432707410524
thyroid_binary,Thyroid Problem,LBXSUA,Uric Acid (mg/dL),LBXSCA,Calcium (mg/dL),Difference,4900,598.0,-0.10498237015257893,0.018935460695642954,3633.920180483714,-0.07954401050380282,0.07354521231233643,3636.278955287914,0.09927709405469445,0.022335939915001057,3634.318123754455,1.1795825976465708,0.3979432707410524
liver_condition_binary,Liver Condition,LBXHGB,Hemoglobin (g/dL),LBDHDD,HDL Cholesterol (mg/dL),Difference,4919,269.0,0.1680834700317118,0.013773347080171437,2084.1166295605894,0.08751241850601245,0.17017781990549485,2088.619391395152,-0.16312657296851094,0.017085449665541288,2084.5083943234995,1.2404718741269551,0.3917647629100429
liver_condition_binary,Liver Condition,LBDHDD,HDL Cholesterol (mg/dL),LBXHGB,Hemoglobin (g/dL),Difference,4919,269.0,-0.1680834700317118,0.013773347080171437,2084.1166295605894,-0.16312657296851094,0.017085449665541288,2084.5083943234995,0.08751241850601245,0.17017781990549485,2088.619391395152,1.2404718741269551,0.3917647629100429
liver_condition_binary,Liver Condition,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXSCA,Calcium (mg/dL),Difference,4895,270.0,0.17317670070239444,0.0006151500060882155,2083.262410298756,0.16738574074388918,0.0007309212042005998,2083.6530847479753,-0.035098096722116875,0.5752162784609941,2093.1872823636127,1.1881999463002235,0.3906744492192047
liver_condition_binary,Liver Condition,LBXSCA,Calcium (mg/dL),LBXGH,"Glycohemoglobin (HbA1c, %)",Difference,4895,270.0,-0.17317670070239444,0.0006151500060882155,2083.262410298756,-0.035098096722116875,0.5752162784609941,2093.1872823636127,0.16738574074388918,0.0007309212042005998,2083.6530847479753,1.1881999463002235,0.3906744492192047
stroke_binary,Stroke,LBXSKSI,Potassium (mmol/L),LBXSATSI,ALT Liver Enzyme (U/L),Difference,4905,239.0,0.36408933406280913,0.0004997072233826696,1898.585426973475,0.1061485957999952,0.10226614276964818,1911.827950577884,-0.3580556406924748,0.0005749176132766113,1898.9745177247687,1.1505089107674284,0.3890907512936792
stroke_binary,Stroke,LBXSATSI,ALT Liver Enzyme (U/L),LBXSKSI,Potassium (mmol/L),Difference,4905,239.0,-0.36408933406280913,0.0004997072233826696,1898.585426973475,-0.3580556406924748,0.0005749176132766113,1898.9745177247687,0.1061485957999952,0.10226614276964818,1911.827950577884,1.1505089107674284,0.3890907512936792
