outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,anomaly_type,gate,n_samples,n_cases,p00,p10,p01,p11,or10,or01,or11,beta1,p1,beta2,p2,beta3,p3,p3_fdr,p3_bonferroni,survives_fdr,survives_bonferroni
high_cholesterol_binary,High Cholesterol,LBXSBU,BUN Kidney (mg/dL),LBXPLTSI,Platelet Count (10^3/uL),High-Low,OR,5383,1762.0,0.294755877034358,0.5616113744075829,0.3806146572104019,0.5263157894736842,3.062667172208166,1.4717136651517642,2.65545518160496,1.120100854373736,2.700457985007734e-27,0.385456399540296,0.0002561195949164,-0.5278001999392757,0.0256248235220271,1.0,1.0,False,False
high_cholesterol_binary,High Cholesterol,LBXSUA,Uric Acid (mg/dL),LBXHGB,Hemoglobin (g/dL),High-Low,AND,5383,1762.0,0.3196758217019361,0.4026548672566372,0.2935779816513761,0.6037735849056604,1.4355577590093829,0.8862842483043785,3.21639940080057,0.3608467203157988,0.000360967900765,-0.1228075268165792,0.2641263907419633,0.938436263814462,0.0030248572263057,0.6266225130231325,1.0,False,False
high_cholesterol_binary,High Cholesterol,LBXSKSI,Potassium (mmol/L),LBXHSCRP,hs-CRP Inflammation (mg/L),High-High,AND,5371,1755.0,0.3194508009153318,0.3900862068965517,0.3054393305439331,0.5423728813559322,1.3636301638449868,0.938467005322113,2.5172346450541943,0.3093469773203713,0.0020948774412631,-0.0652315035103689,0.532361478397972,0.6820804066831782,0.0216809666917425,1.0,1.0,False,False
high_cholesterol_binary,High Cholesterol,LBXSKSI,Potassium (mmol/L),LBXWBCSI,WBC Count (10^3/uL),High-High,AND,5383,1759.0,0.319275727710291,0.3933747412008281,0.3042596348884381,0.5909090909090909,1.3835965106918284,0.9339687434224924,3.053491597086861,0.3239537211603586,0.0010232371225501,-0.0699928950527445,0.4973549286936772,0.8708662120346431,0.0096844499540036,1.0,1.0,False,False
high_cholesterol_binary,High Cholesterol,LBXSCA,Calcium (mg/dL),LBXWBCSI,WBC Count (10^3/uL),Low-High,AND,5383,1762.0,0.3306581059390048,0.2969072164948453,0.3144016227180527,0.4772727272727273,0.8563864691150013,0.9297461273996552,1.8516685718499943,-0.156859124698296,0.1332162996504892,-0.074410725554552,0.466589160013265,0.8455081250563415,0.0113091095070158,1.0,1.0,False,False
high_cholesterol_binary,High Cholesterol,LBXSAL,Albumin (g/dL),LBXPLTSI,Platelet Count (10^3/uL),High-High,XNOR,5386,1762.0,0.3416314736608135,0.2057142857142857,0.2821011673151751,0.3478260869565217,0.5015982834873233,0.7587379121423149,1.056648308418568,-0.6949227433854337,3.1752832130854177e-07,-0.2780306503308044,0.0069103453831062,1.0003769855830125,0.0328398363349129,1.0,1.0,False,False
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),High-High,OR,4748,1441.0,0.2693402328589909,0.4596577017114914,0.448441247002398,0.4385964912280701,2.307915632189638,2.2060362629821206,2.127840762214262,0.8362517913103598,2.444361807819345e-15,0.7910018379295554,4.7565535019894336e-14,-0.8761411771732772,0.0038903578471552,0.6950526220146079,1.0,False,False
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),LBXGH,"Glycohemoglobin (HbA1c, %)",High-High,OR,4766,1484.0,0.2793667007150153,0.4858611825192802,0.4435897435897435,0.3943661971830985,2.4373226367612264,2.057114202149725,1.6895606559442984,0.8910347979424381,1.1560328297188663e-16,0.7209993903881522,2.4238649563246004e-11,-1.0934246444181164,0.0001211218169585,0.10396762799305263,1.0,False,False
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),LBXSUA,Uric Acid (mg/dL),High-High,OR,4667,1456.0,0.2835820895522388,0.4844559585492228,0.3975,0.4354838709677419,2.3736949665349343,1.6680539353238537,1.956459569600343,0.864565823871545,1.184317460348107e-15,0.5108693004710275,2.388322420593175e-06,-0.7081842880862065,0.0167911411710102,1.0,1.0,False,False
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),LBXSUA,Uric Acid (mg/dL),TwoSided-TwoSided,XOR,4667,1456.0,0.3003257328990228,0.3423019431988042,0.344055944055944,0.2769953051643192,1.2134049444921235,1.2227855846183595,0.8969277589216021,0.1926945087140937,0.0332299269475371,0.2004759995582446,0.0227481162480327,-0.5068384347080873,0.0091639605631766,1.0,1.0,False,False
