outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,anomaly_type,gate,n_samples,n_cases,p00,p10,p01,p11,or10,or01,or11,beta1,p1,beta2,p2,beta3,p3
thyroid_binary,Thyroid Problem,LBXSAPSI,Alkaline Phosphatase (U/L),LBXHSCRP,hs-CRP Inflammation (mg/L),Low-High,AND,4888,597.0,0.1198889449772842,0.09817351598173515,0.15517241379310345,0.2916666666666667,0.8066896114410141,1.3547589865177116,3.1433077963046414,-0.2242034065665486,0.18168091648365292,0.29888652186660336,0.029405742761645016,1.031495932340053,0.037669843496823056
thyroid_binary,Thyroid Problem,LBXSCR,Creatinine Kidney (mg/dL),LBXHSCRP,hs-CRP Inflammation (mg/L),TwoSided-TwoSided,AND,4889,597.0,0.1168091168091168,0.13802083333333334,0.10677083333333333,0.20618556701030927,1.2140352848060867,0.907571795905374,1.9796760250666736,0.19117376894994095,0.10631840453630914,-0.10115814968674969,0.43404616731662704,0.5849114632119986,0.016181439664235367
thyroid_binary,Thyroid Problem,LBXSCR,Creatinine Kidney (mg/dL),LBXHGB,Hemoglobin (g/dL),High-Low,AND,4900,599.0,0.11745875400147747,0.13246753246753246,0.1309192200557103,0.25263157894736843,1.1557564231994302,1.1410345549738221,2.572262292681141,0.13740292295410583,0.38462453887412695,0.12386269710705598,0.44976550885270394,0.6708266164519487,0.03862622707498593
thyroid_binary,Thyroid Problem,LBXSKSI,Potassium (mmol/L),LBXWBCSI,WBC Count (10^3/uL),TwoSided-TwoSided,XOR,4898,600.0,0.11381381381381381,0.14421553090332806,0.1446862996158771,0.10897435897435898,1.3166077376751872,1.3204606304993285,0.9756517961286544,0.27165353681904253,0.030779466620862794,0.2754628150362074,0.01701342621290196,-0.5960137710692129,0.04964011372070935
thyroid_binary,Thyroid Problem,LBXSKSI,Potassium (mmol/L),LBXPLTSI,Platelet Count (10^3/uL),High-Low,AND,4898,600.0,0.12196950762309422,0.13138686131386862,0.0985576923076923,0.24285714285714285,1.0964677083407892,0.7949019185609907,2.3526626426501114,0.0851585111973146,0.5797788970137899,-0.23944371285342403,0.16250865504160827,0.9911168785728827,0.005676286527058928
heart_attack_binary,Heart Attack,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),Low-High,AND,4750,222.0,0.04556105180942463,0.036613272311212815,0.061269146608315096,0.2,0.8178260384666078,1.3862969264599068,5.849686609686611,-0.22797365696646527,0.3917763435461281,0.31281804572332184,0.1360262011183531,1.5709317045993878,0.03024195901661117
heart_attack_binary,Heart Attack,systolic_bp,Systolic BP (mmHg),LBXSCA,Calcium (mg/dL),Low-High,AND,4671,228.0,0.05036534446764092,0.02977667493796526,0.04187192118226601,0.2,0.6005359364532491,0.845067385802377,4.990085956863366,-0.5470269014900919,0.07030683737715915,-0.19359199085495726,0.4540093163285084,2.2910985399324324,0.00013739502446949732
heart_attack_binary,Heart Attack,BMXBMI,Body Mass Index (kg/m2),LBXSKSI,Potassium (mmol/L),Low-Low,AND,4827,236.0,0.05099289041431723,0.033482142857142856,0.03676470588235294,0.10714285714285714,0.6639200750126543,0.7427338129496404,2.54859641698406,-0.43895745602394914,0.1067053553703834,-0.34202933989071993,0.2999529357068791,1.584453330590909,0.03282931967751539
heart_attack_binary,Heart Attack,BMXBMI,Body Mass Index (kg/m2),LBXSKSI,Potassium (mmol/L),TwoSided-TwoSided,AND,4827,236.0,0.0476044226044226,0.03233830845771144,0.0633116883116883,0.10596026490066225,0.6789357057743579,1.3642265558664273,2.4287680497383755,-0.4025751839757085,0.061974687127954585,0.3017741818027481,0.10245960396982559,0.9641697481555142,0.011004544475084397
heart_attack_binary,Heart Attack,BMXBMI,Body Mass Index (kg/m2),LBXSCA,Calcium (mg/dL),Low-High,AND,4827,236.0,0.049911325057005324,0.03044496487119438,0.05185185185185185,0.10416666666666667,0.6184880365241026,1.0618524797945712,2.401018478102721,-0.5146092261373092,0.07699188720512665,0.04018727536216446,0.8646294302989314,1.2689671377421519,0.03397487204916457
