Biomarker_A,Biomarker_B,Gate_Type,N_Both,beta_A,beta_B,beta_int,z_int,p_int,dep_rate_both,dep_rate_control,FDR_q
LBXSKSI,LBXHGB,TwoSided,407,-0.013623303468042696,0.0032372831500154463,0.37777994979925084,1.7767380891994715,0.07561134232424745,0.11547911547911548,0.08443083205717203,0.8829995525349683
systolic_bp,diastolic_bp,High-Low,81,0.09405364925964643,0.06138018254672278,-1.0901622907141426,-1.7740389630982716,0.07605670565587175,0.037037037037037035,0.08605868985278134,0.8829995525349683
BMXBMI,LBXSBU,Low-High,25,0.00894834565264227,0.031853082377884194,0.9551697953731039,1.7601406148480658,0.07838396789465946,0.2,0.08538862140119878,0.8829995525349683
BMXWAIST,LBXSUA,Low-Low,172,-0.3467086125825192,-0.20102128067031372,0.5707942256637811,1.7441417620453568,0.08113437343890442,0.10465116279069768,0.08534396809571286,0.8829995525349683
systolic_bp,LBXSCR,TwoSided,100,0.07679533166303228,0.40556278229038345,-0.8301907893708902,-1.735003119761703,0.08274025262635655,0.06,0.08592357948921006,0.8829995525349683
LBXSCA,LBXPLTSI,High-High,115,0.19515059811230537,0.33635150639976896,-0.663413031287774,-1.7317991831619028,0.08330932365045796,0.0782608695652174,0.08575394071577278,0.8829995525349683
LBXTR,LBXSATSI,High-High,45,0.48317692618176705,0.3517913383249319,-1.3263488913502657,-1.7307998105105287,0.08348747571666111,0.044444444444444446,0.08585212168947524,0.8829995525349683
LBXTR,LBXSATSI,TwoSided,45,0.48317692618176705,0.3517913383249319,-1.3263488913502657,-1.7307998105105287,0.08348747571666111,0.044444444444444446,0.08585212168947524,0.8829995525349683
diastolic_bp,LBXSATSI,TwoSided,137,0.05633952302816177,0.1599082299945476,0.5287815606741124,1.7299213811121439,0.0836443226454689,0.145985401459854,0.08484848484848485,0.8829995525349683
LBXGLU,LBXHSCRP,TwoSided,30,0.736494032081751,0.7489946688679507,-0.9969007937888017,-1.7219623555539176,0.08507633798298189,0.13333333333333333,0.08552890287062524,0.8829995525349683
BMXBMI,LBXSNASI,High-High,113,0.6277147122814818,0.19457630354285885,-0.5841569953906058,-1.7199854027908885,0.0854350950084441,0.10619469026548672,0.08543958766973932,0.8829995525349683
LBDLDL,LBXSNASI,High-Low,48,0.03660944860260303,0.29958185920066155,0.7092191638636665,1.7159626354578115,0.08616888137613754,0.20833333333333334,0.08508961985424464,0.8829995525349683
LBXSBU,LBXSNASI,High-Low,91,0.1683542582697744,0.39940526547969984,-0.7843791196309209,-1.7133942649348353,0.08664003067469994,0.06593406593406594,0.08584709722084859,0.8829995525349683
BMXWAIST,diastolic_bp,Low-High,28,-0.2811076599068277,0.17029628330426522,0.9015257829274731,1.708803379342229,0.08748737655858964,0.17857142857142858,0.08541379988205229,0.8829995525349683
LBXTC,LBXTR,High-High,88,0.1307658721367471,0.5569430253869159,-0.8429426546229031,-1.698060052294999,0.08949642823811561,0.06818181818181818,0.085821633379474,0.8829995525349683
BMXBMI,LBXIN,High-High,64,0.5720693471813467,0.8776152532655572,-0.7669218644272185,-1.6978898478001736,0.08952855372853277,0.140625,0.08532254882619845,0.8829995525349683
LBXSAPSI,LBXSCA,High-High,82,0.4250283318588611,0.1912131131421062,-0.774043386144735,-1.6975017612507082,0.0896018384037136,0.07317073170731707,0.0857707509881423,0.8829995525349683
LBXTC,LBXSAPSI,High-Low,24,0.06436419127413306,-0.28851025324926477,1.0216006474791608,1.69476287813215,0.09012041218046188,0.16666666666666666,0.08547848300255453,0.8829995525349683
LBXGLU,LBXTC,TwoSided,89,0.823730398732269,0.10704555421870655,-0.6852678346745201,-1.691276409966574,0.09078402332410312,0.10112359550561797,0.08553347176901019,0.8829995525349683
BMXWAIST,LBXSASSI,High-High,55,0.5343361105397885,0.4050730397384368,-0.9406222128843298,-1.6845494087492328,0.09207553916500733,0.07272727272727272,0.08573962747610131,0.8829995525349683
LBDHDD,LBXPLTSI,Low-High,50,0.6676239206857733,0.3080313425175826,-0.9277111672979904,-1.6812747877737335,0.09270955270422138,0.08,0.08569739952718676,0.8829995525349683
LBXSCR,LBXSAL,TwoSided,103,0.38704196751332,0.21876822984301136,-0.7604493801761784,-1.679512430094055,0.09305221840040796,0.06796116504854369,0.08585008416674918,0.8829995525349683
LBXSBU,LBXSUA,Low-Low,75,0.25941431090353817,-0.21353858173822704,0.633660271916188,1.6746341945460765,0.0940060258941821,0.17333333333333334,0.08502024291497975,0.8829995525349683
LBXSUA,LBXSNASI,Low-High,71,-0.1898176286100903,0.06776024403110723,0.6229678395469237,1.6695787344230175,0.0950027407194692,0.15492957746478872,0.08518408844141744,0.8829995525349683
LBDLDL,LBXTR,High-High,42,0.22028521194297984,0.4813569703510282,-1.2860496082158093,-1.6631930973865625,0.09627378891536618,0.047619047619047616,0.08582677165354331,0.8829995525349683
LBXSAPSI,LBXSKSI,Low-Low,35,-0.30732679746922326,-0.10052127466988894,0.9111701021093972,1.6596339690926325,0.09698811034660375,0.14285714285714285,0.08547260745549326,0.8829995525349683
LBXTR,LBXSKSI,TwoSided,42,0.17933656912604803,0.0568730203090691,0.7737386088734922,1.650780537211883,0.09878339568231376,0.19047619047619047,0.08523622047244095,0.8829995525349683
BMXWAIST,diastolic_bp,Low-Low,90,-0.31218926749044223,-0.09087893142288588,0.6454596317218132,1.6479425469153999,0.09936446143095228,0.1111111111111111,0.08544303797468354,0.8829995525349683
LBDHDD,LBXSAPSI,TwoSided,217,0.11095847087293861,0.2848140694081394,-0.48289342639352073,-1.6472041442109724,0.09951609229899416,0.07834101382488479,0.08582874311467201,0.8829995525349683
BMXBMI,LBXSCA,Low-Low,28,0.008881726528310008,-0.13127166289077866,0.8780144365365287,1.6404396603252553,0.10091378476237856,0.17857142857142858,0.08541379988205229,0.8829995525349683
LBDLDL,LBXSNASI,High-High,46,0.2552114439034383,0.1585583360334253,-1.2264173917689354,-1.636594632167816,0.10171519796374112,0.043478260869565216,0.08586057502953919,0.8829995525349683
LBXSUA,LBXSKSI,TwoSided,345,-0.277556509056996,0.02003549767677512,0.3820276929189626,1.6341849434199325,0.10222002306813863,0.09855072463768116,0.08521862635690372,0.8829995525349683
LBXSBU,LBXSAL,High-Low,137,0.16830590425658204,0.36848882195262456,-0.5924627516492448,-1.6338423048629438,0.10229196681466744,0.08029197080291971,0.08574267262791853,0.8829995525349683
LBXTC,LBXSUA,Low-High,97,-0.024757664425497972,-0.33227959897976356,0.6408320702724268,1.6295951080500146,0.10318709899893472,0.10309278350515463,0.08550222662048491,0.8829995525349683
LBXSATSI,LBXSCA,High-High,81,0.20394472482903325,0.06012118059911913,0.5796675826929074,1.6175170885323311,0.1057667100201648,0.16049382716049382,0.08507064519316274,0.8829995525349683
LBXGLU,LBXHSCRP,High-High,29,0.726917650305329,0.7448446156355163,-0.9384126548554769,-1.615751221032839,0.10614811174347641,0.13793103448275862,0.08552049542907697,0.8829995525349683
LBXTR,LBXPLTSI,High-Low,21,0.24799729748675942,-0.12637508950270768,0.9940494461043922,1.6138257240999831,0.10656523316180508,0.19047619047619047,0.08545329535409095,0.8829995525349683
LBXGH,LBXPLTSI,High-High,83,0.4741088266657488,0.315300020228542,-0.656859804345566,-1.612130419438252,0.10693356249099818,0.0963855421686747,0.08558157920743156,0.8829995525349683
LBXTC,LBXSBU,TwoSided,244,0.1374351297574386,0.2935644268142674,-0.4434476878751287,-1.6080668564490554,0.10782053712316107,0.08196721311475409,0.08576019280980117,0.8829995525349683
LBXSNASI,LBXSAL,High-High,51,0.15679738762354528,0.04901048312911932,-1.6432919735641394,-1.6046866485774887,0.10856278165848726,0.0196078431372549,0.08600137917446557,0.8829995525349683
LBXTC,LBXSBU,High-High,66,0.1526684985957515,0.1604979861513048,-0.9904933461043158,-1.6018896735110608,0.10918000841708841,0.045454545454545456,0.08593133385951066,0.8829995525349683
diastolic_bp,LBXSAL,High-High,55,0.17007274861760976,-0.06671993799121699,0.6755981962936565,1.5893966333550047,0.11197087420742588,0.14545454545454545,0.08534542229230314,0.8829995525349683
LBXSAPSI,LBXHGB,TwoSided,246,0.1095492904993091,0.02793615818981997,0.3811532896021055,1.5735271058163074,0.11559681701297793,0.13414634146341464,0.08447167537163519,0.8829995525349683
diastolic_bp,LBXSAL,Low-High,78,-0.09134627502418667,-0.07402055789287919,0.6370449275775221,1.5677881599155417,0.11693057900277345,0.11538461538461539,0.08544053733702094,0.8829995525349683
LBXSUA,LBXSNASI,Low-Low,121,-0.23514975796054494,0.29123628217598774,0.49389802065382793,1.563518640222183,0.11793065480763759,0.1487603305785124,0.08491221109016962,0.8829995525349683
LBXSASSI,LBXSBU,TwoSided,52,0.3980149142214018,0.24566334917797042,-0.9807838153034386,-1.5589991807728751,0.11899657405913372,0.057692307692307696,0.0858128078817734,0.8829995525349683
LBDLDL,LBXSCA,Low-Low,41,0.23998428223963658,-0.035867668400704204,-1.6107420606247589,-1.551815002182239,0.12070649524554322,0.024390243902439025,0.08591674047829938,0.8829995525349683
systolic_bp,LBXPLTSI,Low-High,61,-0.05268264037727943,0.22203647789135528,0.6028046633008152,1.5467183832919826,0.12193116825511596,0.18032786885245902,0.08510008874864412,0.8829995525349683
LBXSASSI,LBXSCA,TwoSided,88,0.14316491651682733,-0.0019937506470767024,0.5770590290649158,1.546549312035845,0.12197196045075084,0.14772727272727273,0.08512952343286534,0.8829995525349683
LBXSATSI,LBXSBU,High-Low,23,0.24836268130106268,0.3056889760167471,0.8058094410690964,1.5428600247582218,0.12286474183982946,0.2608695652173913,0.08527360251498182,0.8829995525349683
systolic_bp,LBXPLTSI,Low-Low,32,-0.01283084153266433,-0.13447346285707418,0.8232478140858731,1.5400215578996161,0.12355509866343388,0.15625,0.08544739429695182,0.8829995525349683
LBXSUA,LBXSCA,High-High,120,-0.1656862604565391,0.18802220707470124,-0.7572001373688747,-1.5355319450870968,0.12465321642640279,0.041666666666666664,0.08619321563181909,0.8829995525349683
BMXBMI,LBXHGB,TwoSided,298,0.37605926627891695,0.008985927852007827,0.324894231708495,1.532603938390173,0.12537347052764775,0.15436241610738255,0.08360258481421648,0.8829995525349683
LBDLDL,LBXSCR,TwoSided,35,0.19548837909806033,0.3139567099378754,-1.5850608049021238,-1.5239721922236558,0.12751565782795168,0.02857142857142857,0.08586603717910889,0.8829995525349683
LBXSKSI,LBXSAL,High-High,49,0.2346054950248016,0.04513169845215761,-1.5615262870477202,-1.5230475664949445,0.12774680544844827,0.02040816326530612,0.08598443809711416,0.8829995525349683
LBXSATSI,LBXSKSI,High-Low,57,0.23181153467140114,-0.12285481901758716,0.6319130971109336,1.5219741406292142,0.12801556029621738,0.15789473684210525,0.08526367668802366,0.8829995525349683
LBXSUA,LBXSNASI,High-Low,106,-0.17310941206970842,0.3962181699127596,-0.748561960582774,-1.5218021328743074,0.12805866691102072,0.04716981132075472,0.08607369255150554,0.8829995525349683
LBDLDL,LBXPLTSI,High-High,39,0.2433622586748436,0.30769599352429605,-1.1430673990649383,-1.5190465772744803,0.12875077235761265,0.05128205128205128,0.08580143658368591,0.8829995525349683
systolic_bp,LBXSCA,Low-Low,56,0.12281472938130644,-0.02909259290663429,-1.13475167716097,-1.516187719550084,0.12947189239697796,0.03571428571428571,0.0859452000788488,0.8829995525349683
LBXGH,LBXHGB,High-High,52,0.36208748460533513,-0.12195566797251665,0.649249391998163,1.5103893677411695,0.13094410001124018,0.15384615384615385,0.08532019704433498,0.8829995525349683
BMXWAIST,LBXSAPSI,TwoSided,238,0.15965207644969787,0.10856567500018635,0.35286101395887914,1.494374867764286,0.13507766665137597,0.14705882352941177,0.08420313127258129,0.8829995525349683
systolic_bp,LBXSNASI,Low-High,62,-0.05042862333578516,0.07620926414303142,0.5947865133443438,1.492200980244566,0.1356464654719929,0.16129032258064516,0.08520710059171598,0.8829995525349683
LBXTC,LBXSAL,High-High,110,0.03907984736833591,-0.09504286739750285,0.5226133698874218,1.4912086611760245,0.13590672043014282,0.11818181818181818,0.08531510107015458,0.8829995525349683
LBXWBCSI,LBXPLTSI,High-High,36,0.7030640937208629,0.28869169596471794,-1.020041651428948,-1.4904633044907938,0.13610245814777477,0.08333333333333333,0.08567774936061381,0.8829995525349683
